Reg No.	Class & Sec	Year	Period	In Time
2353810111	BSCS - MCS101	4	1	22:51:06
2353810130	BSCS - MCS101	4	1	22:51:09
2353810249	BSCS - MCS101	4	1	22:51:11
2353810258	BSCS - MCS101	4	1	22:51:16
2354600239	BSCS - MCS101	4	1	22:51:17
2357600110	BSCS - MCS101	4	1	22:51:20
2357600458	BSCS - MCS101	4	1	22:51:22
2357600634	BSCS - MCS101	4	1	22:51:24
2357810347	BSCS - MCS101	4	1	22:51:26
2358602325	BSCS - MCS101	4	1	22:51:27
2358602325	BSCS - MCS101	4	1	23:01:03
2359601194	BSCS - MCS101	4	1	23:01:05
2359601312	BSCS - MCS101	4	1	23:01:07
2361600155	BSCS - MCS101	4	1	23:01:12
2361810130	BSCS - MCS101	4	1	23:01:14
2361810142	BSCS - MCS101	4	1	23:01:16
2361810172	BSCS - MCS101	4	1	23:01:22
2361810282	BSCS - MCS101	4	1	23:01:24
